"Govt Pub Number",Title,Format,"Office or Center",Program/Campaign,"Publication Date","Item Owner","Available Qty","Allocated Qty","On Hand Qty","Max Order Qty","Published Status","Stock Status","Display Mode",Pallets,"Location of Product"
SMA13-4755-UNLOAD,"Talk. They Hear You. Underage Drinking Prevention Campaign - Unloading the Car",,,,"08/01/2015 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA13-4755-UNLOAD-FL,"Talk. They Hear You. Underage Drinking Prevention Campaign -  Unloading the Car (Flyer)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-UNLOAD-PC,"Talk. They Hear You. Underage Drinking Prevention Campaign - Unloading the Car (Post Card)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-UNLOAD-TT,"Talk. They Hear You. Underage Drinking Prevention Campaign - Unloading the Car (Table Top Display)",,,,"08/01/2015 - 08:00",,0,0,0,0,"Not Published","OUT OF STOCK",None,0,
SMA13-4755-UNLOAD-WC,"Talk. They Hear You. Underage Drinking Prevention Campaign - Unloading the Car (Wallet Card)",,,,"08/01/2015 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",None,0,
SMA13-4755PARTNERKIT,"Talk. They Hear You: Partner Toolkit","Campaign or Initiative",CSAP,,"02/01/2016 - 07:00",,1182,0,1182,1,Published,"IN STOCK",External,1,"C-14A, Pick Area"
SMA13-4756,"National Children's Mental Health Awareness Day 2013 Short Report, May 9, 2013",Report,,,"07/01/2013 - 08:00",,704,0,704,10,Published,"IN STOCK",External,0,"Pick Area"
SMA13-4757,"Behavioral Health Treatment Needs Assessment Toolkit for States",Kit,,,"05/01/2013 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA13-4763,"Community Conversations About Mental Health: Information Brief","Guidelines or Manual",,,"05/01/2013 - 08:00",,0,0,0,500,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA13-4763SPAN,"Community Conversations About Mental Health: Information Brief (Spanish version)","Guidelines or Manual",,,"06/01/2013 - 08:00",,0,0,0,500,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA13-4764,"Community Conversations About Mental Health: Discussion Guide","Guidelines or Manual",,,"05/01/2013 - 08:00",,0,0,0,500,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA13-4764SPAN,"Community Conversations About Mental Health: Discussion Guide (Spanish version)","Guidelines or Manual",,,"10/01/2013 - 08:00",,0,0,0,500,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA13-4765,"Community Conversations About Mental Health: Planning Guide","Guidelines or Manual",,,"05/01/2013 - 08:00",,0,0,0,500,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA13-4765SPAN,"Community Conversations About Mental Health: Planning Guide (Spanish version)","Guidelines or Manual",,,"10/01/2013 - 08:00",,0,0,0,500,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA13-4770,"Clinical Supervision and Professional Development of the Substance Abuse Counselor","Guidelines or Manual",,,"09/01/2013 - 08:00",,6775,11,6786,10,Published,"IN STOCK",External,1,"C-21A, Pick Area"
SMA13-4771,"Clinical Supervision and Professional Development of the Substance Abuse Counselor","Guidelines or Manual",,,"10/01/2013 - 08:00",,9276,8,9284,10,Published,"IN STOCK",External,1,"A-45B, A-45B, Pick Area"
SMA13-4773,"Medicaid Handbook: Interface with Behavioral Health Services","Guidelines or Manual",,,"08/01/2013 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA13-4775,"Tips for Survivors of a Disaster or Traumatic Event: What to Expect in Your Personal, Family, Work, and Financial Life","Fact Sheet",,,"01/01/2013 - 07:00",,754,177,931,25,Published,"IN STOCK",External,0.01,"Pick Area, Pick Area"
SMA13-4775SPANISH,"Tips for Survivors of a Disaster or Traumatic Event: What to Expect in Your Personal, Family, Work, and Financial Life (Spanish Version)","Fact Sheet",,,"08/01/2014 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA13-4776,"Tips for Survivors of a Disaster or Other Traumatic Event: Managing Stress","Fact Sheet",,,"01/01/2013 - 07:00",,325,150,475,25,Published,"IN STOCK",External,0.01,"Pick Area, Pick Area"
SMA13-4776SPANISH,"Tips for Survivors of a Disaster or Other Traumatic Event: Managing Stress (Spanish Version)","Fact Sheet",,,"08/01/2013 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA13-4777,"Tips for College Students: After a Disaster or Other Trauma","Fact Sheet",,,"09/01/2013 - 08:00",,3763,0,3763,100,Published,"IN STOCK",External,0.5,"D-25B, Pick Area"
SMA13-4777SPANISH,"Tips for College Students: After a Disaster or Other Trauma (Spanish Version)","Fact Sheet",,,"08/01/2014 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA13-4778,"Tips for College Students: After a Disaster or Other Trauma: R U A Survivor of a Disaster or Other Trauma?","Fact Sheet",,,"09/01/2013 - 08:00",,894,150,1044,1,Published,"IN STOCK",External,0,"Pick Area"
SMA13-4779,"TAP 34: Disaster Planning Handbook for Behavioral Health Treatment Programs","Guidelines or Manual",,,"11/01/2013 - 08:00",,0,0,0,5,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA13-4780,"Diabetes Care for Clients in Behavioral Health Treatment",Advisory,,,"10/01/2013 - 08:00",,5109,0,5109,5,Published,"IN STOCK",External,1,"D-34A, D-34A, Pick Area"
SMA13-4785,"Managing Chronic Pain in Adults With or in Recovery From Substance Use Disorders","Guidelines or Manual",,,"11/01/2013 - 08:00",,0,0,0,5,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA13-4786,"Addressing Suicidal Thoughts and Behaviors in Substance Abuse Treatment","Guidelines or Manual",,,"11/01/2013 - 08:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
SMA13-4788,"Substance Abuse Treatment: Addressing the Specific Needs of Women","Guidelines or Manual",,,"11/01/2013 - 08:00",,0,0,0,5,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA13-4789,"Substance Abuse Treatment: Addressing the Specific Needs of Women: Quick Guide for Clinicians Based on TIP 51","Guidelines or Manual",,,"11/01/2013 - 08:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
SMA13-4792,"Managing Chronic Pain in Adults With or in Recovery From Substance Use Disorders","Guidelines or Manual",,,"11/01/2013 - 08:00",,0,0,0,10,Published,"ELECTRONIC ONLY","Download Only",0,
SMA13-4793,"Addressing Suicidal Thoughts and Behaviors in Substance Abuse Treatment: Quick Guide for Clinicians Based on TIP 50","Guidelines or Manual",,,"11/01/2013 - 08:00",,4088,14,4102,10,Published,"IN STOCK",External,1,"C-18B, Pick Area"
SMA13-4794,"Addressing Viral Hepatitis in People With Substance Use Disorders","Guidelines or Manual",,,"11/01/2013 - 08:00",,0,0,0,10,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA13-4795,"Results from the 2012 National Survey on Drug Use and Health: Summary of National Findings","Series Report",,,"09/01/2013 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA13-4796,"Behavioral Health Barometer, 2013",Report,,,"12/01/2013 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA13-4797,"Behavioral Health, United States, 2012",Report,,,"12/01/2013 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA13-4798,"Findings from the National Evaluation of the Safe Schools/Healthy Students Initiative",Report,,,"12/01/2013 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA13-4800,"Anger Management for Substance Abuse and Mental Health Clients",,,,"05/01/2014 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA13-4803,"TIP 58: Addressing Fetal Alcohol Spectrum Disorders (FASD)","Guidelines or Manual",,,"12/01/2013 - 07:00",,0,0,0,10,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA13-4804,"Diagnoses and Health Care Utilization of Children Who Are in Foster Care and Covered by Medicaid",Report,,,"11/01/2013 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA13-4805,"Results from the 2012 National Survey on Drug Use and Health: Mental Health Findings","Series Report",,,"12/01/2013 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4124,"Methadone Treatment for Pregnant Women",,,,"05/01/2009 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA14-4126,"What Is Substance Abuse Treatment? A Booklet for Families",Brochure,,,"01/01/2014 - 07:00",,0,0,0,25,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA14-4132,"Helping Yourself Heal: A Recovering Woman's Guide to Coping With Childhood Abuse Issues",Brochure,,,"03/01/2014 - 07:00",,0,0,0,50,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA14-4134,"Helping Yourself Heal: A Recovering Man's Guide to Coping with the Effects of Childhood Abuse",Brochure,,,"08/01/2014 - 08:00",,0,0,0,50,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA14-4155,"Matrix Intensive Outpatient Treatment for People With Stimulant Use Disorders: Client's Treatment Companion",Workbook,,,"07/01/2014 - 08:00",,0,0,0,25,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA14-4210,"Anger Management for Substance Abuse and Mental Health Clients: Participant Workbook",,,,"01/01/2014 - 07:00",,0,0,0,100,"Not Published","OUT OF STOCK",External,0,
SMA14-4435,"TIP 52: Clinical Supervision and Professional Development of the Substance Abuse Counselor","Guidelines or Manual",,,"09/01/2014 - 08:00",,0,0,0,15,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA14-4474,"The Next Step Toward a Better Life",Brochure,,,"08/01/2014 - 08:00",,0,0,0,50,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA14-4736,"TIP 56: Addressing the Specific Behavioral Health Needs of Men","Guidelines or Manual",,,"05/01/2014 - 08:00",,0,0,0,5,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA14-4781ENG,"No Longer Alone (A Story About Alcohol, Drugs, Depression, and Trauma): Addressing the Specific Needs of Women","Comic Book",,,"10/01/2013 - 08:00",,0,0,0,10,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA14-4804,"Transition to ICD-10: What it Entails and Why It's Important to Behavioral Health Providers","Fact Sheet",,,"01/01/2014 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4810VIET,"Should You Talk to Someone About a Drug, Alcohol, or Mental Health Problem? (Vietnamese)",Brochure,,,"02/01/2014 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4811CHIN,"Should You Talk to Someone About a Drug, Alcohol, or Mental Health Problem? (Chinese)",Brochure,,,"02/01/2014 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4812RUS,"Should You Talk to Someone About a Drug, Alcohol, or Mental Health Problem? (Russian)",Brochure,,,"02/01/2014 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4813VIET,"The Next Step Toward a Better Life (Vietnamese version)",Brochure,,,"02/01/2014 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4814CHIN,"The Next Step Toward a Better Life (Chinese version)",Brochure,,,"02/01/2014 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4815RUS,"The Next Step Toward a Better Life (Russian version)",Brochure,,,"02/01/2014 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4816,"TIP 57: Trauma-Informed Care in Behavioral Health Services","Guidelines or Manual",,,"03/01/2014 - 07:00",,0,0,0,5,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA14-4818,"Strategies for Behavioral Health Organizations to Promote New Health Insurance Opportunities in Asian American, Native Hawaiian, and Pacific Islander Communities","Fact Sheet",,,"03/01/2014 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4819,"Strategies for Behavioral Health Organizations to Promote New Health Insurance Opportunities in African American Communities","Fact Sheet",,,"03/01/2014 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4820,"Strategies for Behavioral Health Organizations to Promote New Health Insurance Opportunities in Latino and Hispanic Communities","Fact Sheet",,,"03/01/2014 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4821,"Strategies for Behavioral Health Organizations to Promote New Health Insurance Opportunities in American Indian and Alaska Native Communities","Fact Sheet",,,"03/01/2014 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4838,"2012 Town Hall Meetings to Prevent Underage Drinking: Moving Communities Beyond Awareness to Action",Report,,,"04/01/2014 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4842,"What does the Research Tell us about Services for Children in Therapeutic/Treatment Foster Care with Behavioral Health Issues?",Report,,,"07/01/2014 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4843,"Controlled Expenditures and Revenues for Mental Health Services, State Fiscal Year 2009",Report,,,"09/01/2014 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4844,"Substance Abuse Treatment: Addressing the Specific Needs of Women","Guidelines or Manual",,,"07/01/2014 - 08:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4848,"Crisis Services: Effectiveness, Cost-Effectiveness, and Funding Strategies",Report,,,"06/01/2014 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4852,"Adult Drug Courts and Medication-Assisted Treatment for Opioid Dependence","Resource Guide",,,"09/01/2014 - 08:00",,0,0,0,50,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4853,"Take Action Against Hepatitis C","Comic Book",,,"07/01/2014 - 08:00",,0,0,0,1,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA14-4854,"Medicaid Coverage and Financing of Medications to Treat Alcohol and Opioid Use Disorders",Report,,,"11/01/2014 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4859,"Treating Sleep Problems of People in Recovery From Substance Use Disorders","Resource Guide",,,"11/01/2014 - 08:00",,35546,5,35551,5,Published,"IN STOCK",External,2,"C-2B, D-27A, Pick Area"
SMA14-4863,"Results from the 2013 National Survey on Drug Use and Health: Summary of National Findings","Series Report",,,"09/01/2014 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4865,"The Next Step Toward a Better Life (Korean version)",Brochure,,,"12/01/2015 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4866,"Understanding Historical Trauma When Responding to an Event in Indian Country","Fact Sheet",,,"09/01/2014 - 08:00",,3320,0,3320,10,Published,"IN STOCK",External,0.5,"D-20B, D-20B, Pick Area"
SMA14-4867,"Cultural Awareness When Working in Indian Country Post Disaster","Fact Sheet",,,"09/01/2014 - 08:00",,6840,0,6840,10,Published,"IN STOCK",External,0.25,"D-20B, Pick Area"
SMA14-4869,"Understanding Compassion Fatigue","Fact Sheet",,,"09/01/2014 - 08:00",,2953,0,2953,25,Published,"IN STOCK",External,0.01,"Pick Area, Pick Area, Pick Area"
SMA14-4869SPANISH,"Tips for Disaster Responders: Understanding Compassion Fatigue (Spanish Version)","Fact Sheet",,,"09/01/2014 - 08:00",,8644,0,8644,50,Published,"IN STOCK",External,1,"B-4A, Pick Area"
SMA14-4870,"Returning to Work","Fact Sheet",,,"09/01/2014 - 08:00",,2789,1,2790,50,Published,"IN STOCK",External,0.01,"Pick Area, Pick Area, Pick Area"
SMA14-4870SPANISH,"Tips for Disaster Responders: Returning to Work (Spanish Version)","Fact Sheet",,,"09/01/2014 - 08:00",,11225,0,11225,50,Published,"IN STOCK",External,0.5,"C-8A, Pick Area"
SMA14-4871,"Helping Staff Manage Stress When Returning to Work","Fact Sheet",,,"09/01/2014 - 08:00",,97,0,97,50,Published,"IN STOCK",External,0.01,"Pick Area, Pick Area"
SMA14-4871SPANISH,"Tips for Supervisors of Disaster Responders: Helping Staff Manage Stress When Returning To Work (Spanish Version)","Fact Sheet",,,"09/01/2014 - 08:00",,10898,0,10898,50,Published,"IN STOCK",External,1,"D-28A, Pick Area"
SMA14-4872,"Adjusting to Life at Home","Fact Sheet",,,"09/01/2014 - 08:00",,8747,0,8747,100,Published,"IN STOCK",External,1.01,"D-37A, D-37A, Pick Area, Pick Area"
SMA14-4872SPANISH,"Tips for Families of Returning Disaster Responders: Adjusting To Life At Home (Spanish Version)","Fact Sheet",,,"09/01/2014 - 08:00",,11295,0,11295,50,Published,"IN STOCK",External,0.5,"D-25B, Pick Area"
SMA14-4873,"Preventing and Managing Stress","Fact Sheet",,,"09/01/2014 - 08:00",,2824,0,2824,5,Published,"IN STOCK",External,0.01,"Pick Area, Pick Area"
SMA14-4873SPANISH,"Tips for Disaster Responders: Preventing And Managing Stress (Spanish Version)","Fact Sheet",,,"09/01/2014 - 08:00",,8300,0,8300,100,Published,"IN STOCK",External,1,"D-14B, Pick Area"
SMA14-4874,"Identifying Substance Misuse in the Responder Community","Fact Sheet",,,"09/01/2014 - 08:00",,3369,0,3369,50,Published,"IN STOCK",External,0.01,"Pick Area, Pick Area, Pick Area"
SMA14-4874SPANISH,"Tips for Disaster Responders: Identifying Substance Misuse In The Responder Community (Spanish Version)","Fact Sheet",,,"09/01/2014 - 08:00",,10740,0,10740,50,Published,"IN STOCK",External,1,"D-22B, Pick Area"
SMA14-4876,"The Next Step Toward a Better Life - Based on TIP 45 (Spanish Version)",Brochure,,,"11/01/2014 - 08:00",,8936,0,8936,5,Published,"IN STOCK",External,1,"B-38A, Pick Area"
SMA14-4877,"Stepping Stones to Recovery SOAR Online Curriculum",,,,"08/01/2014 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA14-4878,"Depression in Mothers: More Than the Blues",Kit,,,"03/01/2016 - 07:00",,1338,0,1338,25,Published,"IN STOCK",External,1,"D-15A, Pick Area"
SMA14-4879,"An Introduction to Co-Occurring Borderline Personality Disorder and Substance Use Disorders","Resource Guide",,,"11/01/2014 - 08:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4881,"Addressing the Specific Behavioral Health Needs of Men","Guidelines or Manual",,,"10/01/2014 - 08:00",,7047,1,7048,1,Published,"IN STOCK",External,2,"A-4B, D-48A, Pick Area"
SMA14-4882,"Addressing the Specific Behavioral Health Needs of Men","Guidelines or Manual",,,"10/01/2014 - 08:00",,0,0,0,5,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA14-4883,"Projections of National Expenditures for Treatment of Mental and Substance Use Disorders, 2010-2020",Report,,,"10/01/2014 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4884,"SAMHSA's Concept of Trauma and Guidance for a Trauma-Informed Approach","Guidelines or Manual",,,"10/01/2014 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4885,"Coping with Stress During Infectious Disease Outbreaks","Fact Sheet",CMHS,,"10/01/2014 - 08:00",,2560,150,2710,1,Published,"IN STOCK",External,0.25,"D-20B, Pick Area"
SMA14-4885SPANISH,"Coping with Stress During Infectious Disease Outbreaks (Spanish)","Fact Sheet",,,"03/01/2016 - 07:00",,11021,0,11021,50,Published,"IN STOCK",External,0.5,"C-8A, Pick Area"
SMA14-4886,"Talking With Children: Tips for Caregivers, Parents, and Teachers During Infectious Disease Outbreaks",,,,"10/01/2014 - 08:00",,6269,0,6269,10,"Not Published","IN STOCK",External,0.25,"D-20B, Pick Area"
SMA14-4886SPANISH,"Talking With Children: Tips for Caregivers, Parents, and Teachers During Infectious Disease Outbreaks (Spanish)","Fact Sheet",,,"03/01/2016 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4887,"Results from the 2013 National Survey on Drug Use and Health: Mental Health Findings",Report,,,"11/01/2014 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4888,"Coping With Grief After Community Violence","Fact Sheet",,,"11/01/2014 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4892R,"Clinical Use of Extended-Release Injectable Naltrexone in the Treatment of Opioid Use Disorder: A Brief Guide","Guidelines or Manual",,,"12/01/2014 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4893,"How To Cope With Sheltering in Place","Fact Sheet",,,"12/01/2014 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA14-4893SPANISH,"How To Cope With Sheltering in Place (Spanish)","Fact Sheet",,,"03/01/2016 - 07:00",,21215,50,21265,50,Published,"IN STOCK",External,1,"D-17A, Pick Area"
SMA14-4894,"Taking Care of Your Behavioral Health During an Infectious Disease Outbreak","Fact Sheet",,,"12/01/2014 - 07:00",,0,0,0,1,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA14-4894SPANISH,"Taking Care of Your Behavioral Health: Tips for Social Distancing, Quarantine, and Isolation During an Infectious Disease Outbreak (Spanish Version)","Fact Sheet",,,"02/01/2016 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA15-3583,"Substance Abuse Treatment and Domestic Violence","Guidelines or Manual",,,"10/01/2015 - 08:00",,0,0,0,50,Published,"OUT OF STOCK",External,0.01,"Pick Area, Pick Area"
SMA15-3594,"Continuity of Offender Treatment for Substance Use Disorder from Institution to Community","Guidelines or Manual",,,"10/01/2015 - 08:00",,1043,15,1058,50,Published,"IN STOCK",External,1,"D-34A, D-34A, Pick Area"
SMA15-3601,"Brief Interventions and Therapies for Substance Abuse","Guidelines or Manual",,,"12/01/2015 - 07:00",,94726,16,94742,100,Published,"IN STOCK",External,10.01,"A-37B, A-38B, A-39A, A-39B, A-40A, A-40B, A-41A, A-41B, A-42A, A-42B, Pick Area, Pick Area"
SMA15-3604,"Substance Abuse Treatment for Persons With Child Abuse and Neglect Issues","Guidelines or Manual",,,"10/01/2015 - 08:00",,47961,17,47978,50,Published,"IN STOCK",External,3.01,"C-33A, C-33B, D-19B, Pick Area, Pick Area"
SMA15-3605,"Substance Abuse Treatment for Persons With Child Abuse and Neglect Issues","Guidelines or Manual",,,"10/01/2015 - 08:00",,150027,2,150029,100,Published,"IN STOCK",External,8,"A-31A, A-31B, A-32A, A-32B, A-33A, A-33B, A-34A, D-2B, Pick Area"
SMA15-3618,"Good Mental Health is Ageless",Brochure,,,"12/01/2015 - 07:00",,614916,0,614916,1000,Published,"IN STOCK",External,10.01,"C-20A, C-22B, C-25B, C-26B, C-27A, C-27B, C-28A, C-28B, C-29B, C-30B, Pick Area, Pick Area"
SMA15-3897,"Good Mental Health is Ageless (Spanish version)",Brochure,,,"10/01/2015 - 08:00",,195076,0,195076,100,Published,"IN STOCK",External,4,"C-26A, C-30A, D-35A, D-35B, Pick Area"
SMA15-3954,"Motivational Enhancement Therapy and Cognitive Behavioral Therapy Supplement: 7 Sessions of Cognitive Behavioral Therapy for Adolescent Cannabis Users",,,,"10/01/2015 - 08:00",,0,0,0,25,"Not Published","OUT OF STOCK",External,0,
SMA15-3991,"TIP 41: Substance Abuse Treatment: Group Therapy","Guidelines or Manual",,,"10/01/2015 - 08:00",,0,0,0,10,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA15-4024,"Substance Abuse Treatment: Group Therapy","Guidelines or Manual",,,"09/01/2015 - 08:00",,182833,49,182882,100,Published,"IN STOCK",External,15.51,"C-31A, C-31B, C-32A, C-32B, C-37A, C-37B, C-38A, C-38B, C-39A, C-39B, C-40A, C-40B, C-41A, C-41B, C-42A, C-42B, Pick Area, Pick Area"
SMA15-4032,"Substance Abuse Treatment and Family Therapy","Guidelines or Manual",,,"10/01/2015 - 08:00",,0,0,0,50,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA15-4127,"Drugs, Alcohol and HIV/AIDS: A Consumer Guide",Brochure,,,"10/01/2015 - 08:00",,598507,50,598557,100,Published,"IN STOCK",External,4.01,"A-5A, A-5B, C-12A, C-12B, Pick Area, Pick Area"
SMA15-4131,"TIP 45: Detoxification and Substance Abuse Treatment","Guidelines or Manual",,,"10/01/2015 - 08:00",,0,0,0,5,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA15-4136,"Brief Interventions and Brief Therapies for Substance Abuse","Guidelines or Manual",,,"10/01/2015 - 08:00",,0,0,0,50,Published,"OUT OF STOCK",External,0.01,"Pick Area, Pick Area"
SMA15-4153,"Matrix Intensive Outpatient Treatment for People with Stimulant Use Disorders: Counselor's Family Education Manual w/CD","Guidelines or Manual",,,"01/01/2016 - 07:00",,0,0,0,30,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA15-4154,"Matrix Intensive Outpatient Treatment for People With Stimulant Use Disorders: Client's Handbook","Guidelines or Manual",,,"10/01/2015 - 08:00",,0,0,0,25,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA15-4171,"TAP 21: Addiction Counseling Competencies","Guidelines or Manual",,,"11/01/2015 - 07:00",,0,0,0,25,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA15-4174,"Faces of Change: Do I Have a Problem With Alcohol or Drugs?",Brochure,,,"10/01/2015 - 08:00",,0,0,0,50,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA15-4211,"Brief Counseling for Marijuana Dependence: A Manual for Treating Adults","Guidelines or Manual",,,"10/01/2015 - 08:00",,0,0,0,60,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA15-4213,"Anger Management for Substance Abuse and Mental Health Clients: A Cognitive Behavioral Therapy Manual",,,,"10/01/2015 - 08:00",,0,0,0,25,"Not Published","OUT OF STOCK",External,0,
SMA15-4215,"TIP 27: Comprehensive Case Management for Substance Abuse Treatment","Guidelines or Manual",,,"10/01/2015 - 08:00",,0,0,0,25,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA15-4219,"TIP 39: Substance Abuse Treatment and Family Therapy","Guidelines or Manual",,,"10/01/2015 - 08:00",,0,0,0,25,"Not Published","OUT OF STOCK",External,0,"Pick Area"
SMA15-4248,"Drugs, Alcohol, and HIV/AIDS: A Consumer Guide for African Americans",Brochure,,,"10/01/2015 - 08:00",,665986,0,665986,100,Published,"IN STOCK",External,5,"A-34B, A-35A, A-35B, A-36A, A-36B, Pick Area"
SMA15-4320,"Alcohol and Drug Treatment: How it Works, and How It Can Help You (Spanish Version)",Brochure,,,"08/01/2015 - 08:00",,115011,0,115011,25,Published,"IN STOCK",External,1,"C-7B, Pick Area"
SMA15-4381,"TIP 50: Addressing Suicidal Thoughts and Behaviors in Substance Abuse Treatment","Guidelines or Manual",,,"10/01/2015 - 08:00",,0,0,0,10,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA15-4416,"Promoting Emotional Health and Preventing Suicide",Kit,,,"08/01/2015 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA15-4416SPANISH,"Promoting Emotional Health and Preventing Suicide: A Toolkit for Senior Centers (SPANISH)",Kit,,,"10/01/2018 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA15-4419,"A Journey Toward Health and Hope: Your Handbook for Recovery After a Suicide Attempt","Resource Guide",,,"10/01/2015 - 08:00",,5291,251,5542,15,Published,"IN STOCK",External,2.01,"C-19A, D-34B, Pick Area, Pick Area"
